data_origin;substance_id;matrix_id;min_value_ng_l;max_value_ng_l;point_value_ng_l;reference_id;DOI;Year;comments
literature;pfhxa;rww;;;9;M. M. Schultz, Environ. Sci. Technol. 2006, 40, 289-295;10.1021/es051381p;2006;Table 3
literature;pfhpa;rww;;;15;M. M. Schultz, Environ. Sci. Technol. 2006, 40, 289-295;10.1021/es051381p;2006;Table 3
literature;pfoa;rww;;;89;M. M. Schultz, Environ. Sci. Technol. 2006, 40, 289-295;10.1021/es051381p;2006;Table 3
literature;pfna;rww;;;5;M. M. Schultz, Environ. Sci. Technol. 2006, 40, 289-295;10.1021/es051381p;2006;Table 3
literature;pfbs;rww;;;3;M. M. Schultz, Environ. Sci. Technol. 2006, 40, 289-295;10.1021/es051381p;2006;Table 3
literature;pfhxs;rww;;;11;M. M. Schultz, Environ. Sci. Technol. 2006, 40, 289-295;10.1021/es051381p;2006;Table 3
literature;pfos;rww;;;12;M. M. Schultz, Environ. Sci. Technol. 2006, 40, 289-295;10.1021/es051381p;2006;Table 3
literature;6:2fts;rww;;;12;M. M. Schultz, Environ. Sci. Technol. 2006, 40, 289-295;10.1021/es051381p;2006;Table 3
literature;pfhxa;rww;;;8;M. M. Schultz, Environ. Sci. Technol. 2006, 40, 289-295;10.1021/es051381p;2006;Table 3
literature;pfhpa;rww;;;1;M. M. Schultz, Environ. Sci. Technol. 2006, 40, 289-295;10.1021/es051381p;2006;Table 3
literature;pfoa;rww;;;5;M. M. Schultz, Environ. Sci. Technol. 2006, 40, 289-295;10.1021/es051381p;2006;Table 3
literature;fosa;rww;;;6;M. M. Schultz, Environ. Sci. Technol. 2006, 40, 289-295;10.1021/es051381p;2006;Table 3
literature;pfbs;hww;;;0;M. M. Schultz, Environ. Sci. Technol. 2006, 40, 289-295;10.1021/es051381p;2006;Table 3
literature;pfhxs;hww;;;6;M. M. Schultz, Environ. Sci. Technol. 2006, 40, 289-295;10.1021/es051381p;2006;Table 3
literature;pfos;hww;;;12;M. M. Schultz, Environ. Sci. Technol. 2006, 40, 289-295;10.1021/es051381p;2006;Table 3
literature;6:2fts;hww;;;0;M. M. Schultz, Environ. Sci. Technol. 2006, 40, 289-295;10.1021/es051381p;2006;Table 3
literature;pfhxa;hww;;;11;M. M. Schultz, Environ. Sci. Technol. 2006, 40, 289-295;10.1021/es051381p;2006;Table 3
literature;pfhpa;hww;;;7;M. M. Schultz, Environ. Sci. Technol. 2006, 40, 289-295;10.1021/es051381p;2006;Table 3
literature;pfoa;hww;;;29;M. M. Schultz, Environ. Sci. Technol. 2006, 40, 289-295;10.1021/es051381p;2006;Table 3
literature;pfda;hww;;;2;M. M. Schultz, Environ. Sci. Technol. 2006, 40, 289-295;10.1021/es051381p;2006;Table 3
literature;pfos;iww;;;14;M. M. Schultz, Environ. Sci. Technol. 2006, 40, 289-295;10.1021/es051381p;2006;Table 3
literature;pfds;iww;;;10;M. M. Schultz, Environ. Sci. Technol. 2006, 40, 289-295;10.1021/es051381p;2006;Table 3
literature;6:2fts;iww;;;9;M. M. Schultz, Environ. Sci. Technol. 2006, 40, 289-295;10.1021/es051381p;2006;Table 3
literature;pfhxa;iww;;;23;M. M. Schultz, Environ. Sci. Technol. 2006, 40, 289-295;10.1021/es051381p;2006;Table 3
literature;pfhpa;iww;;;1;M. M. Schultz, Environ. Sci. Technol. 2006, 40, 289-295;10.1021/es051381p;2006;Table 3
literature;pfhxs;hwwt;;;8;M. M. Schultz, Environ. Sci. Technol. 2006, 40, 289-295;10.1021/es051381p;2006;Table 3
literature;pfos;hwwt;;;13;M. M. Schultz, Environ. Sci. Technol. 2006, 40, 289-295;10.1021/es051381p;2006;Table 3
literature;6:2fts;hwwt;;;9;M. M. Schultz, Environ. Sci. Technol. 2006, 40, 289-295;10.1021/es051381p;2006;Table 3
literature;pfhxa;hwwt;;;13;M. M. Schultz, Environ. Sci. Technol. 2006, 40, 289-295;10.1021/es051381p;2006;Table 3
literature;pfoa;hwwt;;;9;M. M. Schultz, Environ. Sci. Technol. 2006, 40, 289-295;10.1021/es051381p;2006;Table 3
literature;pfbs;hwwt;;;0;M. M. Schultz, Environ. Sci. Technol. 2006, 40, 289-295;10.1021/es051381p;2006;Table 3
literature;pfhxs;hwwt;;;6;M. M. Schultz, Environ. Sci. Technol. 2006, 40, 289-295;10.1021/es051381p;2006;Table 3
literature;pfos;hwwt;;;27;M. M. Schultz, Environ. Sci. Technol. 2006, 40, 289-295;10.1021/es051381p;2006;Table 3
literature;6:2fts;hwwt;;;16;M. M. Schultz, Environ. Sci. Technol. 2006, 40, 289-295;10.1021/es051381p;2006;Table 3
literature;pfhxa;hwwt;;;17;M. M. Schultz, Environ. Sci. Technol. 2006, 40, 289-295;10.1021/es051381p;2006;Table 3
literature;pfoa;hwwt;;;13;M. M. Schultz, Environ. Sci. Technol. 2006, 40, 289-295;10.1021/es051381p;2006;Table 3
literature;pfbs;rww;;;6;M. M. Schultz, Environ. Sci. Technol. 2006, 40, 289-295;10.1021/es051381p;2006;Table 3
literature;pfhxs;rww;;;12;M. M. Schultz, Environ. Sci. Technol. 2006, 40, 289-295;10.1021/es051381p;2006;Table 3
literature;pfos;rww;;;1;M. M. Schultz, Environ. Sci. Technol. 2006, 40, 289-295;10.1021/es051381p;2006;Table 3
literature;pfhxa;rww;;;20;M. M. Schultz, Environ. Sci. Technol. 2006, 40, 289-295;10.1021/es051381p;2006;Table 3
literature;pfhpa;rww;;;25;M. M. Schultz, Environ. Sci. Technol. 2006, 40, 289-295;10.1021/es051381p;2006;Table 3
literature;pfoa;rww;;;49;M. M. Schultz, Environ. Sci. Technol. 2006, 40, 289-295;10.1021/es051381p;2006;Table 3
literature;pfna;rww;;;7;M. M. Schultz, Environ. Sci. Technol. 2006, 40, 289-295;10.1021/es051381p;2006;Table 3
literature;pfbs;rww;;;4;C.A. Huset et al., Environ. Sci. Technol. 2008, 42, 6369-6377;10.1021/es703062f;2008;Table 2
literature;pfhxs;rww;;;1;C.A. Huset et al., Environ. Sci. Technol. 2008, 42, 6369-6378;10.1021/es703062f;2008;Table 2
literature;pfos;rww;;;71;C.A. Huset et al., Environ. Sci. Technol. 2008, 42, 6369-6379;10.1021/es703062f;2008;Table 2
literature;6:2fts;rww;;;2;C.A. Huset et al., Environ. Sci. Technol. 2008, 42, 6369-6380;10.1021/es703062f;2008;Table 2
literature;pfhpa;rww;;;16;C.A. Huset et al., Environ. Sci. Technol. 2008, 42, 6369-6381;10.1021/es703062f;2008;Table 2
literature;pfoa;rww;;;5;C.A. Huset et al., Environ. Sci. Technol. 2008, 42, 6369-6382;10.1021/es703062f;2008;Table 2
literature;pfbs;rww;;;3;C.A. Huset et al., Environ. Sci. Technol. 2008, 42, 6369-6383;10.1021/es703062f;2008;Table 2
literature;pfhxs;rww;;;12;C.A. Huset et al., Environ. Sci. Technol. 2008, 42, 6369-6384;10.1021/es703062f;2008;Table 2
literature;pfos;rww;;;18;C.A. Huset et al., Environ. Sci. Technol. 2008, 42, 6369-6385;10.1021/es703062f;2008;Table 2
literature;6:2fts;rww;;;7;C.A. Huset et al., Environ. Sci. Technol. 2008, 42, 6369-6386;10.1021/es703062f;2008;Table 2
literature;pfhpa;rww;;;7;C.A. Huset et al., Environ. Sci. Technol. 2008, 42, 6369-6387;10.1021/es703062f;2008;Table 2
literature;pfoa;rww;;;5;C.A. Huset et al., Environ. Sci. Technol. 2008, 42, 6369-6388;10.1021/es703062f;2008;Table 2
literature;pfda;rww;;;2;C.A. Huset et al., Environ. Sci. Technol. 2008, 42, 6369-6389;10.1021/es703062f;2008;Table 2
literature;pfbs;rww;;;6;C.A. Huset et al., Environ. Sci. Technol. 2008, 42, 6369-6390;10.1021/es703062f;2008;Table 2
literature;pfhxs;rww;;;45;C.A. Huset et al., Environ. Sci. Technol. 2008, 42, 6369-6391;10.1021/es703062f;2008;Table 2
literature;pfos;rww;;;449;C.A. Huset et al., Environ. Sci. Technol. 2008, 42, 6369-6392;10.1021/es703062f;2008;Table 2
literature;6:2fts;rww;;;7;C.A. Huset et al., Environ. Sci. Technol. 2008, 42, 6369-6393;10.1021/es703062f;2008;Table 2
literature;fosa;rww;;;3;C.A. Huset et al., Environ. Sci. Technol. 2008, 42, 6369-6394;10.1021/es703062f;2008;Table 2
literature;pfhxa;rww;;;1;C.A. Huset et al., Environ. Sci. Technol. 2008, 42, 6369-6395;10.1021/es703062f;2008;Table 2
literature;pfhpa;rww;;;1;C.A. Huset et al., Environ. Sci. Technol. 2008, 42, 6369-6396;10.1021/es703062f;2008;Table 2
literature;pfoa;rww;;;35;C.A. Huset et al., Environ. Sci. Technol. 2008, 42, 6369-6397;10.1021/es703062f;2008;Table 2
literature;pfna;rww;;;5;C.A. Huset et al., Environ. Sci. Technol. 2008, 42, 6369-6398;10.1021/es703062f;2008;Table 2
literature;pfbs;rww;;;7;C.A. Huset et al., Environ. Sci. Technol. 2008, 42, 6369-6399;10.1021/es703062f;2008;Table 2
literature;pfhxs;rww;;;54;C.A. Huset et al., Environ. Sci. Technol. 2008, 42, 6369-6400;10.1021/es703062f;2008;Table 2
literature;pfos;rww;;;134;C.A. Huset et al., Environ. Sci. Technol. 2008, 42, 6369-6401;10.1021/es703062f;2008;Table 2
literature;pfds;rww;;;36;C.A. Huset et al., Environ. Sci. Technol. 2008, 42, 6369-6401;10.1021/es703062f;2008;Table 2
literature;6:2fts;rww;;;4;C.A. Huset et al., Environ. Sci. Technol. 2008, 42, 6369-6402;10.1021/es703062f;2008;Table 2
literature;fosa;rww;;;5;C.A. Huset et al., Environ. Sci. Technol. 2008, 42, 6369-6403;10.1021/es703062f;2008;Table 2
literature;pfhpa;rww;;;2;C.A. Huset et al., Environ. Sci. Technol. 2008, 42, 6369-6404;10.1021/es703062f;2008;Table 2
literature;pfoa;rww;;;25;C.A. Huset et al., Environ. Sci. Technol. 2008, 42, 6369-6405;10.1021/es703062f;2008;Table 2
literature;pfbs;rww;;;1;C.A. Huset et al., Environ. Sci. Technol. 2008, 42, 6369-6406;10.1021/es703062f;2008;Table 2
literature;pfhxs;rww;;;10;C.A. Huset et al., Environ. Sci. Technol. 2008, 42, 6369-6407;10.1021/es703062f;2008;Table 2
literature;pfos;rww;;;76;C.A. Huset et al., Environ. Sci. Technol. 2008, 42, 6369-6408;10.1021/es703062f;2008;Table 2
